Исполнитель,Название песни,Текст
Владимир Высоцкий,наши предки,наши предки люди темные и грубые кулаками друг на дружку помахав вдруг увидели громадное и круглое пролетело всем загадку загадав а в спорах догадках деатах вменяют тарелкам в вину утечку энергии в штатах и горькую нашу слюну ой вон блюдце пролетело над флоренцией и святая инквизиция под страх очень бойко продавала индульгенции очень шибко жгла ученых на кострах а в спорах догадках деатах вменяют тарелкам в вину утечку энергии в штатах и горькую нашу слюну нашу жизнь не назовешь ты скучной серенькой тем не менее не радует сейчас ктото видел пару блюдец над америкой ктото видел две тарелки и у нас а в спорах догадках деатах вменяют тарелкам в вину утечку энергии в штатах и горькую нашу слюну
Владимир Высоцкий,птица,как засмотрится мне нынче как задышится воздух крут перед грозой крут да вязок что споется мне сегодня что услышится птицы вещие поют да все из сказок птица сирин мне радостно скалится веселит зазывает из гнезд а напротив тоскуетпечалится травит душу чудной алконост припев словно семь заветных струн зазвенели в свой черед это птица гамаюн надежду подает в синем небе колокольнями проколотом медный колокол медный колокол то ль возрадовался то ли осерчал купола в россии кроют чистым золотом чтобы чаще господь замечал я стою как перед вечною загадкою пред великою да сказочной страною перед солоно да горькокислосладкою голубою родниковою ржаною грязью чавкая жирной да ржавою вязнут лошади по стремена но влекут меня сонной державою что раскисла опухла от сна припев словно семь богатых лун на пути моем встает то мне птица гамаюн надежду подает душу сбитую да стертую утратами душу сбитую перекатами если до крови лоскут истончал залатаю золотыми я заплатами чтобы чаще господь замечал чтобы чаще господь замечал
Владимир Высоцкий,вы в огне и на море не сыщете брода,вы в огне да и в море вовеки не сыщете брода вы не ждали его не за легкой добычей пошли провожая закат мы живем ожиданьем восхода и влюбленные в море живем ожиданьем земли помнишь детские сны о походах великой армады абордажи бои паруса и под ложечкой ком все сбылось становись становись раздаются команды это требует море скорей становись моряком наверху впереди злее ветры багровее зори правда сверху видней впереди же исход и земля вы матросские робы кровавые ваши мозоли не забудьте ребята когдато надев кителя по сигналу пошел оживают продрогшие реи горизонт опрокинулся мачты упали ничком становись становись становись человеком скорее это значит на море скорей становись моряком поднимаемся в небо по вантам как будто по вехам там и ветер живой он кричит а не шепчет тайком становись становись становись становись человеком это значит на море скорей становись моряком чтоб отсутствием долгим вас близкие не попрекали не грубейте душой и не будьте покорны судьбе оставайтесь ребята людьми становясь моряками становясь капитаном храните матроса в себе
Владимир Высоцкий,это наши горы,мерцал закат как блеск клинка свою добычу смерть считала бой будет завтра а пока взвод зарывался в облака и уходил по перевалу отставить разговоры вперед и вверх а там ведь это наши горы они помогут нам а до войны вот этот склон немецкий парень брал с тобою он падал вниз но был спасен а вот сейчас быть может он свой автомат готовит к бою отставить разговоры вперед и вверх а там ведь это наши горы они помогут нам взвод лезет вверх а у реки тот с кем ходил ты раньше в паре мы ждем атаки до тоски а вот альпийские стрелки сегодня чтото не в ударе отставить разговоры вперед и вверх а там ведь это наши горы они помогут нам ты снова здесь ты собран весь ты ждешь заветного сигнала а парень тот он тоже здесь среди стрелков из эдельвейс их надо сбросить с перевала отставить разговоры вперед и вверх а там ведь это наши горы они помогут нам
Владимир Высоцкий,поговори хоть ты со мной,поговори хоть ты со мной гитара семиструнная вся душа полна тобой а ночь такая лунная эх раз да еще раз да еще много многомногомного раз да еще раз да еще много много раз на горе стоит альха а под горою вишня полюбил цыганку я она замуж вышла эх раз да еще раз да еще много много много много раз да еще раз да еще много много раз в чистом поле посидим дальняя дорога сердце стонит от тоски а в глазах тревога эх раз да еще раз да еще много много много много раз да еще раз да еще много много раз у меня жена была она меня любила изменила только раз а потом решила
Владимир Высоцкий,нам вчера прислали,нам вчера прислали исп владимир высоцкий нам вчера прислали из рук вон плохую весть нам вчера сказали что алеха вышел весь как же так он наде говорил что пофартит что сыграет свадьбу на неделю загудит не видать девахе этот свадебный гудеж потому что в драке налетел на чейто нож потому что плохо хоть не первый раз уже получал алеха дырки новые в душе для того ль он душу как рубаху залатал чтоб его убила в пьяной драке свлота если б все в порядке мы б на свадьбу нынче шли но с ножом в лопатке поутру его нашли что ж поубивается девчонка поревет что ж посомневается и слезы оботрет а потом без вздоха отопрет любому дверь ничего алеха все равно тебе теперь мы его схороним очень скромно что рыдать некому о нем и похоронную послать потому никто не знает где у лехи дом вот такая смерть шальная всех нас ждет потом что ж поубивается девчонка поревет что ж посомневается и слезы оботрет а потом без вздоха отопрет любому дверь бог простит а леха все равно ему теперь
Владимир Высоцкий,черные бушлаты,за нашей спиной остались падения закаты ну хоть бы ничтожный ну хоть бы невидимый взлет мне хочется верить что черные наши бушлаты дадут нам возможность сегодня увидеть восход сегодня на людях сказали умрите геройски попробуем ладно увидим какой оборот я только подумал чужие куря папироски тут кто как умеет мне важно увидеть восход особая рота особый почет для сапера не прыгайте с финкой на спину мою из ветвей напрасно стараться я и с перерезанным горлом сегодня увижу восход до развязки своей прошли по тылам мы держась чтоб не резать их сонных и вдруг я заметил когда прокусили проход еще несмышленый зеленый но чуткий подсолнух уже повернулся верхушкой своей на восход за нашей спиною в шесть тридцать остались я знаю не только падения закаты но взлет и восход два провода глых зубами скрипя зачищаю восхода не видел но понял вотвот и взойдет уходит обратно уже поредевшая рота не важно что было а важен лишь взорванный форт мне хочется верить что грубая наша работа вам дарит возможность беспошлинно видеть восход
Владимир Высоцкий,куплеты бенгальского,дамы господа других не вижу здесь блеск изыск и общество прелестны сотвори господь хоть пятьдесят одесс все равно в одессе будет тесно говорят что здесь бывала королева из непала и какойто крупный лорд из эдинбурга и отсюда много ближе до берлина и парижа чем из даже самого санктпетербурга вот приехал в город меценат и крез весь в деньгах с задатками повесы если был он с гонором так будет без шаг ступив по улицам одессы из подробностей пикантных две мужчин столь элегантных в целом свете вряд ли встретить бы смогли вы ну а женщины одессы все скромны все поэтессы все умны а в крайнем случае красивы грузчики в порту которым равных нет отдыхают с баснями крылова если вы чутьчуть художник и поэт вас поймут в одессе с полуслова нет прохода здесь клянусь вам от любителей искусства и об этом много раз писали в прессе если в англии и в штатах недостаток в меценатах пусть приедут позаимствуют в одессе дамы господа я восхищен и смят мадам месье я счастлив что таиться леди джентельмены я готов стократ умереть и снова здесь родиться все в одессе море песни порт бульвар и много лестниц крабы устрицы акации  да наш город процветает но в одессе не хватает самой малости театра варьете
Владимир Высоцкий,исчезла дрожь в руках,ну вот исчезла дрожь в руках теперь наверх ну вот сорвался в пропасть страх навек навек для остановки нет причин иду скользя и в мире нет таких вершин что взять нельзя среди нехоженых путей один пусть мой среди невзятых рубежей один за мной и имена тех кто здесь лег снега таят среди непройденных дорог одна моя здесь голубым сияньем льдов весь склон облит и тайну чьихнибудь следов гранит хранит а я гляжу в свою мечту поверх голов и свято верю в чистоту снегов и слов и пусть пройдет немалый срок мне не забыть что здесь сомнения я смог в себе убить в тот день шептала мне вода удач всегда а день какой был день тогда ах да среда
Владимир Высоцкий,честь шахматной короны часть ,только прилетели сразу сели фишки все заранее стоят фоторепортеры налетели и слепят и с толку сбить хотят но меня и дома кто положит репортерам с ног меня не сбить мне же неумение поможет этот шифер ни за что не сможет угадать чем буду я ходить выпало ходить ему задире говорят он белыми мастак сделал ход с е на е чтото мне знакомое тактак ход за мной что делать надо сева наугад как ночью по тайге помню всех главнее королева ходит взадвперед и вправовлево ну а кони вроде только буквой г эх спасибо заводскому другу научил как ходят как сдают выяснилось позже я с испугу разыграл классический дебют все следил чтоб не было промашки вспоминал все повара в тоске эх сменить бы пешки на рюмашки живо б прояснилось на доске вижу он нацеливает вилку хочет есть и я бы съел ферзя эх под такой бы закусь да бутылку но во время матча пить нельзя я голодный посудите сами здесь у них лишь кофе да омлет клетки как круги перед глазами королей я путаю с тузами и с дебютом путаю дуплет есть примета вот я и рискую в первый раз должно мне повезти да я его замучу зашахую мне дай только дамку провести не мычу не телюсь весь как вата надо чтото бить уже пора чем же бить ладьею страшновато справа в челюсть вроде рановато неудобно первая игра он мою защиту разрушает старую индийскую в момент это смутно мне напоминает индопакистанский инцидент только зря он шутит с нашим братом у меня есть мера даже две если он меня прикончит матом так я его через бедро с захватом или ход конем по голове я еще чуток добавил прыти все не так уж сумрачно вблизи в мире шахмат пешка может выйти ну если тренируется в ферзи а шифер стал на хитрости пускаться он встанет пробежится и назад он мне даже предложил турами поменяться ну еще б ему меня не опасаться я же лежа жму сто пятьдесят вот я его фигурку смерил оком и когда он объявил мне шах обнажил я бицепс ненароком даже снял для верности пиджак и мгновенно в зале стало тише он заметил что я привстаю видно ему стало не до фишек и хваленый пресловутый фишер тут же согласился на ничью
Владимир Высоцкий,песня про друга,если друг оказался вдруг и не друг и не враг а так если сразу не разберешь плох он или хорош парня в горы тяни рискни не бросай одного его пусть он в связке одной с тобой там поймешь кто такой если парень в горах не ах если сразу раскис и вниз шаг ступил на ледник и сник оступился и в крик значит рядом с тобой чужой ты его не брани гони вверх таких не берут и тут про таких не поют если ж он не скулил не ныл пусть он хмур был и зол но шел а когда ты упал со скал он стонал но держал если шел за тобой как в бой на вершине стоял хмельной значит как на себя самого положись на него значит как на себя самого положись на него
Владимир Высоцкий,целуя знамя в пропыленный шелк,целуя знамя в пропыленный шелк и выплюнув в отчаянье протезы фельдмаршал звал вперед мой славный полк презрейте смерть мои головорезы и смятыми знаменами горды воспалены талантливою речью расталкивая спины и зады одни стремились в первые ряды и первыми ложились под картечью хитрец и тот который не был смел не пожелав платить такую цену полз в задний ряд но там не уцелел его свои же брали на прицел и в спину убивали за измену сегодня каждый третий без сапог но после битвы заживут как крезы прекрасный полк надежный верный полк отборные в полку головорезы а третьи средь битвы и беды старались сохранить и грудь и спину не выходя ни в первые ряды ни в задние но как изза еды дрались за золотую середину они напишут толстые труды и будут гибнуть в рамах на картине те что не вышли в первые ряды но не были и сзади и горды что честно прозябали в середине уже трубач без почестей умолк не слышно меди только звон железа ах славный полк надежный верный полк отборные в полку головорезы но нет им честь знамен не запятнать дышал фельдмаршал весело и ровно чтоб их в глазах потомков оправдать он молвил ктото должен умирать а ктото должен выжить безусловно и нет звезды тусклее чем у них уверенно дотянут до кончины скрываясь за отчаянных и злых последний ряд оставив для других умеренные люди середины в грязь втоптаны знамена смятый шелк фельдмаршальские жезлы и протезы ах славный полк да был ли славный полк в котором сплошь одни головорезы
Владимир Высоцкий,песня про случаи,песня про случаи случаи мы все живем как будто но не будоражат нас давно ни паровозные свистки ни пароходные гудки иные те кому дано стремятся вглубь и видят дно но как навозные жуки и мелководные мальки а рядом случаи летают словно пули шальные запоздалые слепые на излете одни под них подставиться рискнули и сразу кто в могиле кто в почете другие не заметили а мы так увернулись нарочно по примете ли на правую споткнулись средь суеты и кутерьмы ах как давно мы не прямы то гнемся бить поклоны впрок а то завязывать шнурок стремимся вдаль проникнуть мы но даже светлые умы все излагают между строк у них расчет на долгий срок а рядом случаи летают словно пули шальные запоздалые слепые на излете одни под них подставиться рискнули и сразу кто в могиле кто в почете другие не заметили а мы так увернулись нарочно по примете ли на правую споткнулись стремимся мы подняться ввысь ведь думы наши поднялись и там парят они легки свободны вечны высоки и так нам захотелось ввысь что мы вчера перепились и горьким думам вопреки мы ели сладкие куски а рядом случаи летают словно пули шальные запоздалые слепые на излете одни под них подставиться рискнули и сразу кто в могиле кто в почете другие не заметили а мы так увернулись нарочно по примете ли на правую споткнулись открытым взломом без ключа навзрыд об ужасах крича мы вскрыть хотим подвал чумной рискуя даже головой и трезво а не сгоряча мы рубим прошлое с плеча но бьем расслабленной рукой холодной дряблой никакой приятно сбросить гору с плеч и все на божий суд извлечь и руку выпростать дрожа и показать в ней нет ножа не опасаясь что картечь и безоружных будет сечь но нас железных точит ржа и психология ужа а рядом случаи летают словно пули шальные запоздалые слепые на излете одни под них подставиться рискнули и сразу кто в могиле кто в почете другие не заметили а мы так увернулись нарочно по примете ли на правую споткнулись
Владимир Высоцкий,ну и забава у людей,трубят рога скорей скорей и копошится свита душа у ловчих без затей из жил воловьих свита ну и забава у людей убить двух белых лебедей и стрелы ввысь помчались у лучников наметан глаз а эти лебеди как раз сегодня повстречались она жила под солнцем там где синих звезд без счета куда под силу лебедям высокого полета ты воспари крыла раскинь в густую трепетную синь скользи по божьим склонам в такую высь куда и впредь возможно будет долететь лишь ангелам и стонам но он и там ее настиг и счастлив миг единый но может был тот яркий миг их песней лебединой двум белым ангелам сродни к земле направились они опасная повадка изза кустов как изза стен следят охотники за тем чтоб счастье было кратко вот утирают пот со лба виновники паденья сбылась последняя мольба остановись мгновенье так пелся вечный этот стих в пик лебединой песне их счастливцев одночасья они упали вниз вдвоем так и оставшись на седьмом на высшем небе счастья 
Владимир Высоцкий,семь дней усталый старый бог,семь дней усталый старый бог в запале в зашоре в запаре творил убогий наш лубок и каждой твари по паре ему творить потеха и вот себе взамен бог создал человека как пробный манекен идея эта не нова но не обхаяна никем я докажу как дважды два адам был первый манекен а мы ошметки хромосом огрызки божественных генов идем проторенным путем и создаем манекенов не так мы парень глупы чтоб наряжать живых мы обряжаем трупы и кукол восковых ругать меня повремени а оглянись по сторонам хоть нам подобные они но не живут подобно нам твой нос расплюснут на стекле глазеешь и ломит в затылке а там сидят они в тепле и скалят зубы в ухмылке вон тот кртин в халате смеется над тобой мол жив еще приятель доволен ли судьбой гляди красотка чем плоха загар и патлы до колен ее закутанный в меха ласкает томный манекен их жизнь и вправду хороша их холят лелеют и греют они не тратят ни гроша и потому не стареют пусть лупят по башке нам толкают нас и бьют но кукламманекенам мы создали уют они так вежливы взгляни их не волнует ни черта и жизнерадостны они и нам безумным не чета он никогда не одинок в салоне в постели в бильярдной невозмутимый словно йог галантный и элегантный хочу такого плена свобода мне не впрок я вместо манекена хочу пожить денек на манекенские паи согласен даже на пари в приятный круг его семьи желаю черт меня дери я предлагаю смелый план возможных сезонных обменов мы люди в их бездушный клан а вместо нас манекенов но я готов поклясться что гденибудь заест они не согласятся на перемену мест из них конечно ни один нам не уступит свой уют из этих солнечных витрин они без боя не уйдут сдается мне они хитрят и тайно расправивши члны когда живые люди спят выходят в ночь манекены машины выгоняют и мчат так что держись и пьют и прожигают свою ночную жизнь такие подвиги творят что мы за год не натворим но возвращаются назад ах как завидую я им мы скачем скачем вверх и вниз кропаем и клеим на стенах наш главный лозунг и девиз забота о манекенах недавно был читали налет на магазин в них сколько не стреляли не умер ни один его налогом не согнуть не сдвинуть повышеньем цен счастливый путь счастливый путь будь счастлив мистер манекен но как индусы мы живем надеждою смертных и тленных что если завтра мы умрем воскреснем вновь в манекенах так что не хнычь ребята наш день еще придет храните люди свято весь манекенский род болезни в нас обострены уже не станем мы никем грядет надежда всей страны здоровый крепкий манекен
Владимир Высоцкий,гимн морю и горам,заказана погода нам удачею самой довольно футов нам под киль обещано и небо поделилось с океаном синевой но вызов брошен шпаги скрещены не правда ли морской хмельной невиданный простор сродни горам в безумье буйстве кротости седые гривы волн лежат как снег на пиках гор и впадины меж ними словно пропасти припев служение стихиям не терпит суеты к двум полюсам ведет меридиан благословенны вечные хребты благословен великий океан нам сам великий случай брат везение сестра на всякий случай в меру мы встревожены на суше пожелали нам ни пуха ни пера созвездья к нам прекрасно расположены мы все впередсмотрящие все начали с азов и если у когото невезение меняем курс идем на как там в горах на зов на помощь прекращая восхождение припев служение стихиям не терпит суеты к двум полюсам ведет меридиан благословенны вечные хребты благословен великий океан потери посчитаем мы когда пройдет гроза не сединой а солью убеленные скупая океанская огромная слеза умоет наши лица просветленные взята вершина клотики вонзились в небеса с небес на землю только на мгновение едва закончив рейс мы поднимаем паруса и снова начинаем восхождение припев служение стихиям не терпит суеты к двум полюсам ведет меридиан благословенны вечные хребты благословен великий океан благословенны вечные хребты благословен великий океан благословенны вечные хребты благословен великий океан
Владимир Высоцкий,клены выкрасили город это скоро бабье лето, клены выкрасили город  колдовским какимто цветом  это скоро это скоро  бабье лето бабье лето  это скоро это скоро  бабье лето бабье лето что так быстро тают листья ничего мне не понятно а я ловлю как эти листья наши даты наши даты а я кружу напропалую с самой ветренной из женщин а я давно искал такую и не больше и не меньше только вот ругает мама что меня ночами нету что я слишком часто пьяный бабьим летом бабьим летом а я забыл когда был дома спутал ночи и рассветы это омут ох это омут бабье лето бабье лето
Владимир Высоцкий,баллада о времени,замок временем скрыт и укутан укрыт в нежный плед из зеленых побегов но развяжет язык молчаливый гранит и холодное прошлое заговорит о походах боях и победах время подвиги эти не стерло отодрать от него верхний пласт или взять его крепче за горло и оно свои тайны отдаст упадут сто замков и спадут сто оков и сойдут сто потов с целой груды веков и польются легенды из сотен стихов про турниры осады про вольных стрелков ты к знакомым мелодиям ухо готовь и гляди понимающим оком потому что любовь это вечно любовь даже в будущем нашем далеком звонко лопалась сталь под напором меча тетива от натуги дымилась смерть на копьях сидела утробно урча в грязь валились враги о пощаде крича победившим сдаваясь на милость но не все оставаясь живыми в доброте сохраняли сердца защитив свое доброе имя от заведомой лжи подлеца хорошо когда конь закусил удила и рука на копье поудобней легла хорошо если знаешь откуда стрела хуже если поподлому изза угла как у вас там с мерзавцеми бьют поделом ведьмы вас не пугают шабашем но не правда ли зло называется злом даже там в добром будущем вашем и вовеки веков и во все времена трус предатель всегда презираем враг есть враг и война все равно есть война и темница тесна и свобода одна и всегда на нее уповаем время эти понятья не стерло нужно только поднять верхний пласт и дымящейся кровью из горла чувства вечные хлынут на нас ныне присно во веки веков старина и цена есть цена и вина есть вина и всегда хорошо если честь спасена если другом надежно прикрыта спина чистоту простоту мы у древних берем саги сказки из прошлого тащим потому что добро остается добром в прошлом будущем и настоящем
Владимир Высоцкий,баллада о вольных стрелках,если рыщут за твоею непокорной головой чтоб петлей худую шею сделать более худой нет надежнее приюта скройся в лес не пропадешь если продан ты комуто с потрохами ни за грош бедняки и бедолаги презирая жизнь слуги и бездомные бродяги у кого одни долги все кто загнан неприкаян в этот вольный лес бегут потому что здесь хозяин славный парень робин гуд здесь с полслова понимают не боятся острых слов здесь с почетом принимают оторвисорвиголов и скрываются до срока даже рыцари в лесах кто без страха и упрека тот всегда не при деньгах знают все оленьи тропы словно линии руки в прошлом слуги и холопы ныне вольные стрелки здесь того кто все теряет защитят и сберегут по лесной стране гуляет славный парень робин гуд и живут да поживают всем запретам вопреки и ничуть не унывают эти вольные стрелки спят укрывшись звездным небом мох под ребра подложив им какой бы холод ни был жив и славно если жив но вздыхают от разлуки гдето дом и клок земли да поглаживают луки чтоб в бою не подвели и стрелков не сыщешь лучших что же завтра где их ждут скажет первый в мире лучник славный парень робин гуд
Владимир Высоцкий,лучше гор могут быть только горы,прощание с горами из фильма вертикаль ввысоцкий в суету городов и в потоки машин возвращаемся мы просто некуда деться и спускаемся вниз с покоренных вершин оставляя в горах оставляя в горах свое сердце так оставьте ненужные споры я себе уже все доказал лучше гор могут быть только горы на которых еще не бывал кто захочет в беде оставаться один кто захочет уйти зову сердца не внемля но спускаемся мы с покоренных вершин что же делать и боги спускались на землю так оставьте ненужные споры я себе уже все доказал лучше гор могут быть только горы на которых еще не бывал сколько слов и надежд сколько песен и тем горы будят у нас и зовут нас остаться но спускаемся мы кто на год кто совсем потому что всегда потому что всегда мы должны возвращаться так оставьте ненужные споры я себе уже все доказал лучше гор могут быть только горы на которых никто не бывал
Владимир Высоцкий,как да во лесу дремучем,как да во лесу дремучем по сырым дуплам да сучьям да по норам по барсучьим мы скучаем да канючим так зачем сидим мы сиднем скуку да тоску наводим нукася ребята выйдем весело поколобродим мы ребята битые тертые ученые да во болотах мытые да в омутах моченые как да во лесу дремучем чтонибудь да отчеучим добра молодца прищучим пощекочем и помучим воду во реке замутим на кустах костей навесим пакостных шуток нашутим весело покуролесим водяные лешие души забубенные ваше дело пешие а наше дело конные
Владимир Высоцкий,аисты из кинофильма война под крышами,небо этого дня ясное но теперь в нем броня лязгает а по нашей земле гул стоит и деревья в смоле грустно им дым и пепел встают как кресты гнезд по крышам не вьют аисты колос в цвет янтаря успеем ли нет выходит мы зря сеяли что ж там цветом в янтарь светится это в поле пожар мечется разбрелись все от бед в стороны певчих птиц больше нет вороны и деревья в пыли к осени те что песни могли бросили и любовь не для нас верно ведь что нужнее сейчас ненависть дым и пепел встают как кресты гнезд по крышам не вьют аисты лес шумит как всегда кронами а земля и вода стонами но нельзя без чудес аукает довоенными лес звуками побрели все от бед на восток певчих птиц больше нет нет аистов воздух звуки хранит разные но теперь в нем гремит лязгает даже цокот копыт топотом если кто закричит шепотом побрели все от бед на восток и над крышами нет аистов
